name,x,y,plst,dem,at
USC00028796,-110.9442,32.2817,45.78,710.2,37.8
USC00028817,-111.0053,32.2581,47.69,705.6,38.3
USC00028865,-111.0497,31.5678,36.51,995.8,31.1
USC00029287,-112.7403,33.9792,55.67,638.6,40.6
USC00029309,-113.6125,34.7056,55.5,612.6,34.4
USC00029334,-109.8369,32.2553,43.28,1271,36.7
USC00029359,-112.1928,35.2414,31.34,2105.9,25.6
USC00029634,-112.3014,33.595,55.92,345.9,42.2
USC00029645,-114.1344,34.8775,51.32,594.4,35.6
USC00030064,-91.055,35.9308,35.84,78.6,32.8
USC00030130,-92.8417,34.7961,27.53,212.8,32.2
USC00030220,-93.0589,34.1433,33.15,59.7,34.4
USC00030286,-94.0994,33.6194,32.85,97.5,36.1
USC00030458,-91.7944,35.8306,33.45,174,32.8
USC00030460,-91.6383,35.7594,35.99,88.4,34.4
USC00030536,-91.0567,35.4586,33.38,67.7,32.8
USC00030582,-92.6006,34.5675,35.89,94.5,36.1
USC00030798,-93.6506,35.1161,32.38,129.8,33.9
USC00030806,-89.9044,35.9239,40.95,76.8,33.9
USC00030832,-93.9258,35.0931,36.62,182.9,32.8
USC00030936,-91.2153,34.8822,34.43,56.4,32.2
USC00031102,-92.0064,34.9817,35.15,91.4,33.9
USC00031132,-92.1636,36.1092,31.83,106.7,32.2
USC00031140,-92.4833,33.3064,30.55,23.5,33.9
USC00031152,-92.8236,33.59,35.88,35.4,36.1
USC00031457,-93.4036,35.5328,31.47,259.1,32.2
USC00031459,-93.4728,35.5,35.56,136.6,33.9
USC00031596,-92.4903,35.1033,31.77,95.1,32.8
USC00031632,-90.5858,36.4197,35.08,91.4,32.8
USC00031730,-91.9481,33.1111,32.42,54.9,34.4
USC00031838,-93.1675,35.2342,35.02,112.8,35.6
USC00031900,-93.2044,35.8272,27.01,723.9,29.4
USC00031910,-93.1486,34.2531,31.63,149.4,33.9
USC00031948,-94.3481,34.0464,37.49,124.1,34.4
USC00031968,-91.4978,34.9772,29.73,61,29.4
USC00032148,-91.4878,33.8886,35.03,48.2,32.2
USC00032355,-91.2628,33.1144,33.89,41.1,37.2
USC00032356,-93.7917,36.4164,32.55,432.8,36.1
USC00032366,-91.6147,36.0803,34.47,156.7,32.8
USC00032540,-92.3989,33.8228,32.94,70.1,34.4
USC00032794,-92.7161,35.9886,31.09,184.7,33.3
USC00032930,-94.4481,36.4261,36.66,384,35.6
USC00032978,-91.9997,35.5206,31.87,160.6,33.3
USC00033132,-91.5056,36.2747,32.89,121.9,32.8
USC00033242,-90.59,34.5211,30.5,59.4,30.6
USC00033466,-93.0486,34.5128,34.49,190.8,34.4
USC00033544,-93.7522,36.07,35.28,543.5,31.1
USC00033734,-90.6589,35.8489,38.54,94.5,33.3
USC00033821,-90.0964,35.6872,34.65,70.7,33.9
USC00033909,-93.5206,36.0086,33.6,653.8,31.7
USC00034106,-92.9158,36.4194,34.6,253,31.7
USC00034134,-92.5947,34.1742,31.91,77.7,35.6
USC00034528,-90.7347,35.0264,32.2,91.4,35
USC00034548,-93.2325,33.295,35.69,99.1,36.1
USC00034562,-92.8364,34.3947,34.5,91.4,35
USC00034572,-91.535,36.4947,33.91,153,33.3
USC00034711,-91.1892,35.2539,38.09,59.7,34.4
USC00034756,-94.2494,34.5731,39.73,344.4,31.1
USC00034938,-92.7672,35.1581,34.29,103.6,34.4
USC00035018,-94.1542,35.6494,35.3,241.7,36.1
USC00035036,-92.3939,36.3458,35.21,243.8,32.2
USC00035046,-92.0978,35.8444,33.78,218.2,33.3
USC00035112,-93.8583,33.9294,34.23,121.9,37.2
USC00035186,-91.2744,35.6042,37.81,69.5,32.8
USC00035200,-93.1594,34.9553,33.93,146.3,35
USC00035512,-93.8683,35.5125,36.28,253,34.4
USC00035563,-90.4978,36.0336,37.82,82.3,33.3
USC00035754,-92.0186,34.2256,35.47,70.1,32.8
USC00035820,-90.9683,36.2642,35.01,96,32.2
USC00035831,-90.6872,35.5325,30.83,105.2,32.2
USC00035866,-91.5058,33.2511,29.67,39,33.9
USC00035908,-93.3878,33.8203,37.79,93.9,35
USC00036353,-91.6469,35.4156,39.23,132.3,33.3
USC00036376,-91.1242,34.3703,26.95,61,30
USC00036403,-91.8036,36.3561,35.15,207.3,33.9
USC00036506,-91.7167,35.2678,31.75,70.1,35
USC00036562,-92.3914,34.3019,36.01,76.2,33.3
USC00036920,-91.4172,34.4744,29.13,60.4,37.2
USC00036928,-93.6369,35.3028,39.08,152.4,33.9
USC00037582,-92.0997,33.6044,33.16,64,33.3
USC00037712,-90.1805,35.1242,34.1,65.5,35.6
USC00037963,-94.0203,35.855,32.03,667.2,31.1
USC00038010,-92.4958,35.1817,32.71,104.5,33.9
USC00038052,-90.7964,35.2547,33.74,79.2,33.9
USC00040136,-116.7775,32.8358,44.63,516.6,26.1
USC00040174,-115.8045,34.1614,56.21,387.7,37.8
USC00040176,-115.7442,34.5592,61.61,197.5,40
USC00040212,-122.4406,38.5731,36.95,522.7,26.1
USC00040232,-121.7525,37.9833,44.67,18.3,31.7
USC00040332,-118.8336,35.2111,52.23,137.2,36.7
USC00040343,-118.8253,36.4914,37.81,520.6,36.1
USC00040379,-119.5128,37.0919,43.21,637,32.2
USC00040436,-116.0628,35.2761,53.61,293.2,43.9
USC00040444,-119.0508,35.4186,52.21,143.3,35
USC00040449,-119.0883,36.9092,38.35,528.8,35.6
USC00040521,-117.0219,34.8928,55.67,676.7,36.1
USC00040673,-122.0797,37.0856,26.41,128,21.7
USC00040693,-122.2606,37.8744,32.17,94.5,20
USC00040738,-123.2078,40.7406,38.47,381.9,36.7
USC00040741,-116.9169,34.2431,27.15,2058.3,25.6
USC00040790,-121.7803,36.2472,22.37,61,17.8
USC00040924,-114.5972,33.6131,49.34,81.7,41.7
USC00040931,-120.0936,39.3886,36.31,1699.3,30.6
USC00040943,-119.0142,38.2119,44.21,2551.2,20.6
USC00040983,-116.4036,33.2558,58.41,246.9,40
USC00041194,-118.3481,34.1867,46.11,199.6,24.4
USC00041214,-121.6547,40.8803,44.07,974.8,32.2
USC00041244,-119.47,35.4028,42.07,68.6,34.4
USC00041253,-119.9817,34.5822,31.27,242.3,29.4
USC00041277,-120.3114,38.2769,29.77,1431,24.4
USC00041316,-122.8045,41.3111,41.91,970.8,31.1
USC00041424,-116.47,32.6264,48.05,801.6,30.6
USC00041428,-120.8433,38.2486,39.01,200.6,30.6
USC00041497,-121.0886,40.1706,31.07,1389.9,29.4
USC00041534,-121.7244,36.4806,34.61,146.3,20.6
