2,4,6
9,6,4
161,160,159
159,160,158
144,148,150
145,148,144
6,9,13
156,153,157
19,13,15
15,13,9
115,108,113
113,122,115
155,159,158
155,156,159
12,15,9
42,34,39
66,69,77
71,77,80
71,66,77
145,144,138
146,144,150
150,151,146
96,103,97
75,63,68
68,78,75
75,78,83
75,83,89
156,155,154
154,155,152
153,156,154
152,147,154
5,12,9
5,4,1
5,9,4
34,26,30
30,39,34
80,77,87
44,40,36
48,40,44
74,71,80
64,71,74
66,71,62
62,54,59
59,66,62
62,71,64
145,138,141
141,138,133
137,138,144
144,146,137
137,146,142
137,142,135
121,122,113
129,122,121
121,131,129
132,131,121
142,146,149
149,151,153
149,146,151
153,154,149
149,154,147
135,142,143
142,149,143
143,149,147
103,96,105
113,108,105
108,103,105
83,78,88
89,83,88
92,96,88
88,97,89
88,96,97
92,88,81
81,88,78
65,78,68
65,55,61
111,121,113
119,121,111
113,105,111
116,106,109
119,111,116
116,111,106
18,16,23
18,14,11
11,16,18
3,7,11
7,10,11
11,10,16
22,30,26
22,26,19
19,15,22
39,30,31
30,22,31
61,55,51
47,39,43
43,51,47
47,51,55
42,39,47
47,52,42
82,87,77
82,69,73
77,69,82
133,123,125
125,123,117
126,125,120
120,125,117
32,36,40
40,37,32
32,37,29
27,36,32
32,23,27
29,23,32
49,48,44
64,60,53
70,74,79
70,67,60
70,60,64
64,74,70
70,79,76
76,67,70
80,87,91
85,74,80
80,91,85
85,91,93
79,74,85
140,134,139
127,137,135
132,121,127
127,121,119
72,81,78
78,65,72
76,81,72
72,67,76
72,65,61
61,67,72
55,65,58
63,52,58
68,63,58
58,65,68
58,47,55
52,47,58
16,10,20
27,23,20
20,23,16
40,48,45
45,37,40
41,37,45
48,53,45
3,11,8
8,11,14
1,3,8
8,5,1
12,5,8
8,14,12
15,12,17
17,22,15
12,14,17
43,39,35
39,31,35
61,51,56
56,67,61
60,67,56
84,82,73
138,137,128
133,138,128
128,123,133
136,125,126
136,141,133
133,125,136
114,120,117
48,49,57
57,53,48
54,62,57
57,49,54
57,62,64
64,53,57
94,91,87
87,82,94
106,95,100
109,106,100
100,104,109
93,104,100
101,95,106
106,111,101
101,111,105
92,95,101
101,96,92
101,105,96
79,85,90
90,85,93
93,100,90
90,100,95
134,140,130
130,136,126
140,136,130
25,31,22
22,17,25
25,35,31
33,37,41
29,37,33
46,56,51
46,51,43
137,127,124
124,128,137
124,127,119
119,116,124
91,94,99
117,123,112
109,104,112
76,79,86
79,90,86
86,90,95
86,81,76
92,81,86
86,95,92
38,33,41
41,46,38
43,35,38
38,46,43
35,25,28
28,38,35
33,38,28
56,46,50
50,45,53
41,45,50
50,46,41
50,53,60
60,56,50
118,124,116
118,112,123
123,128,118
128,124,118
118,116,109
109,112,118
98,104,93
93,91,98
91,99,98
102,99,94
107,112,104
104,98,107
107,98,99
117,112,107
107,114,117
110,114,107
107,102,110
99,102,107
21,28,25
21,17,14
21,25,17
21,14,18
29,33,24
33,28,24
28,21,24
24,21,18
18,23,24
24,23,29
